timestamp,master_frame,slave_frame,lidar_state,ch1_adc,ch1_sdadc0,ch1_sdadc1,ch1_adj0,ch1_adj1,ch1_current,ch2_adc,ch2_sdadc0,ch2_sdadc1,ch2_adj0,ch2_adj1,ch2_current,ch3_adc,ch3_sdadc0,ch3_sdadc1,ch3_adj0,ch3_adj1,ch3_current,ch4_adc,ch4_sdadc0,ch4_sdadc1,ch4_adj0,ch4_adj1,ch4_current
2025-11-16 18:27:59.562,0,8671,0,0,-32761,-32768,0,0,0.0,0,-32763,-32768,0,0,0.0,0,-32754,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:28:00.567,0,8672,0,0,-32762,-32768,0,0,0.0,0,-32759,-32768,0,0,0.0,0,-32756,-32768,0,0,0.0,0,-32767,-32768,0,0,0.0
2025-11-16 18:28:01.571,0,8673,0,0,-32762,-32768,0,0,0.0,0,-32763,-32768,0,0,0.0,0,-32752,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:28:02.576,0,8674,0,0,-32763,-32768,0,0,0.0,0,-32762,-32768,0,0,0.0,0,-32757,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:28:03.580,0,8675,0,0,-32762,-32767,0,0,0.0,0,-32758,-32768,0,0,0.0,0,-32757,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:28:04.584,0,8676,0,0,-32763,-32768,0,0,0.0,0,-32764,-32768,0,0,0.0,0,-32758,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:28:05.589,0,8677,0,0,-32764,-32768,0,0,0.0,0,-32760,-32768,0,0,0.0,0,-32754,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:28:06.593,0,8678,0,0,-32762,-32768,0,0,0.0,0,-30869,-32768,0,0,0.0,0,-32716,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:28:07.597,0,8679,0,0,-32766,-32766,0,0,0.0,0,-32740,-32768,0,0,0.0,0,-32756,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:28:08.603,0,8680,0,0,-32759,-32768,0,0,0.0,0,-32762,-32768,0,0,0.0,0,-32755,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
