timestamp,master_frame,slave_frame,lidar_state,ch1_adc,ch1_sdadc0,ch1_sdadc1,ch1_adj0,ch1_adj1,ch1_current,ch2_adc,ch2_sdadc0,ch2_sdadc1,ch2_adj0,ch2_adj1,ch2_current,ch3_adc,ch3_sdadc0,ch3_sdadc1,ch3_adj0,ch3_adj1,ch3_current,ch4_adc,ch4_sdadc0,ch4_sdadc1,ch4_adj0,ch4_adj1,ch4_current
2025-11-16 18:30:24.541,0,8816,0,0,-32768,-32764,0,0,0.0,0,-32458,-32768,0,0,0.0,0,-32752,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:30:25.543,0,8817,0,0,-32762,-32768,0,0,0.0,0,-32760,-32768,0,0,0.0,0,-32754,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:30:26.548,0,8818,0,0,-32762,-32768,0,0,0.0,0,-32483,-32768,0,0,0.0,0,-32750,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:30:27.551,0,8819,0,430,-32764,-32768,0,0,0.0,0,-16696,-32768,0,0,0.0,0,-32402,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:30:28.556,0,8820,0,0,-32760,-32768,0,0,0.0,0,-32758,-32768,0,0,0.0,0,-32754,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:30:29.559,0,8821,0,0,-32762,-32768,0,0,0.0,0,-32764,-32768,0,0,0.0,0,-32756,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:30:30.563,0,8822,0,0,-32761,-32766,0,0,0.0,0,-32764,-32768,0,0,0.0,0,-32759,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:30:31.568,0,8823,0,0,-32763,-32768,0,0,0.0,0,-32724,-32768,0,0,0.0,0,-32758,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:30:32.572,0,8824,0,0,-32760,-32768,0,0,0.0,0,-32762,-32768,0,0,0.0,0,-32762,-32768,0,0,0.0,0,-32767,-32768,0,0,0.0
2025-11-16 18:30:33.577,0,8825,0,0,-32762,-32768,0,0,0.0,0,-32766,-32768,0,0,0.0,0,-32758,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:30:34.581,0,8826,0,172,-32765,-32768,0,0,0.0,0,-24624,-32768,0,0,0.0,0,-32612,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
2025-11-16 18:30:35.586,0,8827,0,0,-32762,-32768,0,0,0.0,0,-32098,-32768,0,0,0.0,0,-32746,-32768,0,0,0.0,0,-32768,-32768,0,0,0.0
